[17:36:24] [info] VIOLET: Creating window Violet Engine (1200, 800)
[17:36:26] [info] VIOLET: OpenGL Info: 
[17:36:26] [info] VIOLET:  Vendor: NVIDIA Corporation 
[17:36:26] [info] VIOLET:  Renderer : NVIDIA GeForce GTX 1650/PCIe/SSE2 
[17:36:26] [info] VIOLET:  Version: 4.6.0 NVIDIA 512.59 
[17:36:31] [trace] APP: FPS: 61.7518 (0.0161939 / ms) 
[17:36:31] [trace] APP: FPS: 57.329 (0.0174432 / ms) 
[17:36:31] [trace] APP: FPS: 62.8341 (0.0159149 / ms) 
[17:36:31] [trace] APP: FPS: 59.4616 (0.0168176 / ms) 
[17:36:31] [trace] APP: FPS: 58.1299 (0.0172029 / ms) 
[17:36:31] [trace] APP: FPS: 62.0074 (0.0161271 / ms) 
[17:36:31] [trace] APP: FPS: 60.8382 (0.0164371 / ms) 
[17:36:31] [trace] APP: FPS: 61.0596 (0.0163774 / ms) 
[17:36:31] [trace] APP: FPS: 56.9028 (0.0175738 / ms) 
[17:36:31] [trace] APP: FPS: 59.0697 (0.0169291 / ms) 
[17:36:31] [trace] APP: FPS: 60.6078 (0.0164995 / ms) 
[17:36:31] [trace] APP: FPS: 59.9872 (0.0166702 / ms) 
[17:36:31] [trace] APP: FPS: 63.0381 (0.0158634 / ms) 
[17:36:31] [trace] APP: FPS: 57.9196 (0.0172653 / ms) 
[17:36:31] [trace] APP: FPS: 58.4165 (0.0171185 / ms) 
[17:36:31] [trace] APP: FPS: 61.0756 (0.0163732 / ms) 
[17:36:31] [trace] APP: FPS: 61.2307 (0.0163317 / ms) 
[17:36:31] [trace] APP: FPS: 58.2656 (0.0171628 / ms) 
[17:36:31] [trace] APP: FPS: 62.4729 (0.0160069 / ms) 
[17:36:31] [trace] APP: FPS: 60.8434 (0.0164356 / ms) 
[17:36:31] [trace] APP: FPS: 57.5872 (0.017365 / ms) 
[17:36:31] [trace] APP: FPS: 63.272 (0.0158048 / ms) 
[17:36:31] [trace] APP: FPS: 59.0697 (0.0169291 / ms) 
[17:36:31] [trace] APP: FPS: 51.2714 (0.0195041 / ms) 
[17:36:31] [trace] APP: FPS: 69.1057 (0.0144706 / ms) 
[17:36:31] [trace] APP: FPS: 63.0135 (0.0158696 / ms) 
[17:36:32] [trace] APP: FPS: 57.5271 (0.0173831 / ms) 
[17:36:32] [trace] APP: FPS: 61.1843 (0.0163441 / ms) 
[17:36:32] [trace] APP: FPS: 58.7388 (0.0170245 / ms) 
[17:36:32] [trace] APP: FPS: 62.652 (0.0159612 / ms) 
[17:36:32] [trace] APP: FPS: 57.5035 (0.0173903 / ms) 
[17:36:32] [trace] APP: FPS: 59.6969 (0.0167513 / ms) 
[17:36:32] [trace] APP: FPS: 54.3585 (0.0183964 / ms) 
[17:36:32] [trace] APP: FPS: 55.9912 (0.0178599 / ms) 
[17:36:32] [trace] APP: FPS: 64.496 (0.0155048 / ms) 
[17:36:32] [trace] APP: FPS: 63.8014 (0.0156736 / ms) 
[17:36:32] [trace] APP: FPS: 51.1513 (0.0195498 / ms) 
[17:36:32] [trace] APP: FPS: 64.829 (0.0154252 / ms) 
[17:36:32] [trace] APP: FPS: 58.6616 (0.0170469 / ms) 
[17:36:32] [trace] APP: FPS: 63.7995 (0.0156741 / ms) 
[17:36:32] [trace] APP: FPS: 56.7519 (0.0176206 / ms) 
[17:36:32] [trace] APP: FPS: 68.7208 (0.0145516 / ms) 
[17:36:32] [trace] APP: FPS: 56.3281 (0.0177531 / ms) 
[17:36:32] [trace] APP: FPS: 67.0788 (0.0149078 / ms) 
[17:36:32] [trace] APP: FPS: 52.1368 (0.0191803 / ms) 
[17:36:32] [trace] APP: FPS: 61.5181 (0.0162554 / ms) 
[17:36:32] [trace] APP: FPS: 59.8468 (0.0167093 / ms) 
[17:36:32] [trace] APP: FPS: 60.0852 (0.016643 / ms) 
[17:36:32] [trace] APP: FPS: 58.9353 (0.0169678 / ms) 
[17:36:32] [trace] APP: FPS: 62.243 (0.0160661 / ms) 
